Adv Name,Industry,Campaign Name,Total Impressions,Total Clicks,Total Revenue,Month
AU Bank - SA,BFSI,OF-16618_AUBank_HomeBTF/Rewards/Wealth,769031,3956,21357,Sep'22
Isobar- IndusInd,BFSI,"OF-16509_IndusIndCC_CB,CBC_CPC2",2551104,4922,7485,Sep'22
PayTM First Games,Gaming,OF-16883_PaytmFirstGames_HBTF/Reward/MMBTF/CB_CPC8,754358,1233,7600,Sep'22
PayTM First Games,Gaming,OF-16883_PaytmFirstGames_HBTF/Reward/MMBTF/CB_CPC8,7222707,1214,7483,Sep'22
AU Bank - SA,BFSI,OF-16618_AUBank_HomeBTF/Rewards/Wealth,1423174,3413,18425,Sep'22
Hindustan University,Edtech,OF-16688_HindustanUniversity_MMBTF_PT_HomeATF_HOmeBTF_CPM85,66905,149,3670,Sep'22
IDFC_First,BFSI,"OF-16532_SokratiIDFCSavings_HomeBTF,Reward,CB,MMBTF_CPC4",10583514,1694,6370,Sep'22
IDFC_First,BFSI,"OF-16532_SokratiIDFCSavings_HomeBTF,Reward,CB,MMBTF_CPC4",232097,1683,6329,Sep'22
Ludo_Gold,Gaming,"OF-16580_LudoGold_HomeATF,Reward,MMBTF,CB,CBC_CPC6",16761393,21655,128040,Sep'22
IDFC_First,BFSI,"OF-16532_SokratiIDFCSavings_HomeBTF,Reward,CB,MMBTF_CPC4",440319,1480,5565,Sep'22
IDFC_First,BFSI,"OF-16532_SokratiIDFC Savings_HomeBTF,Reward,CB,MMBTF_CPC4",871459,1417,5328,Sep'22
FK Healthcare,e-Commerce,OF-16809_FK_Healthcare_HomeATF_Rewards,1621071,3768,38902,Sep'22
Netmeds,Health & wellness,OF-16836_Netmed_HomeATF-Rewards,639343,33597,30372,Sep'22
KFC,FnB,OF-16790_KFC_HomeATF_CPM,2333640,3214,138425,Sep'22
Kotak 811,BFSI,OF-16513_Kotak811_HomeMastHead,23223270,24522,47491,Sep'22
Ludo_Gold,Gaming,"OF-16580_LudoGold_HomeATF,Reward,MMBTF,CB,CBC_CPC6",1970564,17726,104809,Sep'22
Playship,Gaming,OF-16644_Playship_HomeATF_CPC8,983781,766,4636,Sep'22
PlayerZpot,Gaming,OF-16679_Playerzpot_HomeATF_Reward,755181,2118,11257,Sep'22
Spartan_Poker,Gaming,OF-16637_Spartan_Poker_HomeBTF_Rewards_CB,45696162,6288,36298,Sep'22
Hindustan University,Edtech,OF-16850_HindustanUniversity_MMBTF/PT_CPM,47825,393,2724,Sep'22
Kotak 811,BFSI,OF-16513_Kotak811_HomeMastHead,8876770,20346,39403,Sep'22
Isobar- IndusInd,BFSI,"OF-16509_IndusIndCC_CB,CBC_CPC2",1453011,2673,4065,Sep'22
